	Company Name	Product Name	Treatment Area	Phase	Mechanism of Action	Flags	Pipeline/PDF Url
0	ionis	ionis	['!']	['!']	['!']	['No data found on website!']	http://www.ionispharma.com/pipeline/
1	bayer	bayer	['!']	['!']	['!']	['No data found on website!']	http://pharma.bayer.com/en/innovation-partnering/development-pipeline/
2	biogen	aducanumab	"[""Alzheimer's"", 'disease']"	3	[]	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html
3	biogen	BIIB067	['loss', 'ALS', 'disease', 'sclerosis', 'brain']	2	[]	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html
4	biogen	Dapirolizumab	['Lupus', 'B', 'inflammatory', 'lupus', 'chronic', 'disease', 'brain']	2	['humanized antibody', 'antibody']	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html
5	biogen	Opicinumab	['vision', 'loss', 'disease', 'sclerosis', 'virus']	2	[]	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html
6	biogen	E2609	"['non-Hodgkin’s', 'loss', 'disease', ""Alzheimer's"", 'brain']"	3	['inhibitor', 'inhibitor)', '(BACE1']	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html
7	biogen	BIIB074	['lupus', 'disease']	2	['inhibitor)']	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html
8	biogen	Natalizumab	['Crohn’s', 'acute', 'inflammatory', 'lymphocytic', 'stroke', 'Acute', 'sclerosis', 'ischemic', 'brain', 'Stroke']	2	['humanized antibody', 'inhibitor)']	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html
9	biogen	Obinutuzumab	['tumors', 'lymphoma', 'B', 'non-Hodgkin’s', 'lymphocytic', 'cancer', 'chronic']	3	['humanized antibody', 'antibody']	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html
10	biogen	BIIB054	"[""Parkinson's"", 'disease']"	2	[]	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html
11	biogen	BAN2401	['disease', 'brain', 'loss']	2	['mAb)', 'antibody']	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html
12	biogen	Aducanumab	['disease', 'brain', 'loss']	3	['mAb)', 'antibody']	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html
13	biogen	obinutuzumab	['cancer']	3	['humanized antibody']	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html
14	biogen	BG00011	['pulmonary', 'Pulmonary', 'fibrosis', 'Idiopathic', 'disease', 'brain']	2	['antibody']	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html
15	biogen	BIIB059	['Lupus', 'inflammatory', 'lupus', 'chronic', 'disease', 'brain']	2	[]	[]	https://www.biogen.com/en_us/research-pipeline/biogen-pipeline.html
16	roche	RG6114	['cancer', 'breast']	1	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
17	roche	RG435	['cancer', 'Oncology', 'breast', 'acute']	1	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
18	roche	RG1662	['disorders', 'A', 'brain']	2	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
19	roche	RG7882	['ovarian', 'cancer', 'A']	1	['antibody']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
20	roche	RG7845	['autoimmune']	2	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
21	roche	RG6100	"[""Alzheimer's"", 'disease']"	1	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
22	roche	Alectinib	['tumorigenesis', 'disease', 'malignant']	1	['tyrosine-kinase inhibitor']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
23	roche	Obinutuzumab	['lupus']	2	['monoclonal']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
24	roche	crenezumab	"[""Alzheimer's"", 'disease']"	3	['humanized antibody']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
25	roche	RG7854	['infection', 'B', 'hepatitis']	1	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
26	roche	emactuzumab+atezolizumab	['Oncology', 'tumors', 'Cancer']	1	['humanized antibody']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
27	roche	emactuzumab	['cancer', 'tumors', 'A', 'Cancer']	1	['humanized antibody']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
28	roche	RG6013	['hemophilia']	3	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
29	roche	cobimetinib+atezolizumab	['Oncology']	1	['tyrosine-kinase inhibitor']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
30	roche	cobimetinib+atezolizumab	['Oncology']	3	['tyrosine-kinase inhibitor']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
31	roche	cobimetinib	['Oncology', 'Cancer', 'tumours']	1	['tyrosine-kinase inhibitor']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
32	roche	cobimetinib	['cancer', 'Oncology', 'breast']	2	['tyrosine-kinase inhibitor']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
33	roche	ruxolitinib	['myelofibrosis', 'A', 'fibrosis']	1	['inhibitor', 'tyrosine-kinase inhibitor']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
34	roche	RG6061	['Oncology', 'tumors']	1	['oligonucleotide']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
35	roche	Pertuzumab	['cancer', 'breast']	3	['monoclonal', 'antibody']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
36	roche	RG1273	['Oncology']	3	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
37	roche	RG7880	['inflammatory']	1	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
38	roche	RG6046	['chronic', 'B', 'hepatitis']	2	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
39	roche	RG7861	['conjugate', 'Staphylococcus', 'aureus']	1	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
40	roche	RG7421	['Oncology']	1	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
41	roche	RG7421	['Oncology']	2	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
42	roche	RG7421	['Oncology']	3	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
43	roche	RG7221	['Oncology']	2	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
44	roche	emicizumab	['hemophilia']	3	['humanized antibody']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
45	roche	ipilimumab	['Oncology', 'tumors', 'Cancer', 'tumours']	1	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
46	roche	Frontline	['chronic', 'lymphocytic']	3	['chemical substance']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
47	roche	RG7203	['schizophrenia']	1	['inhibitor']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
48	roche	RG6029	['peripheral']	1	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
49	roche	Vanucizumab	['cancer']	2	['monoclonal', 'antibody']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
50	roche	Etrolizumab	['disease', 'ulcerative']	3	['humanized antibody']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
51	roche	RG7741	['tumors', 'lymphoma', 'tumor']	1	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
52	roche	RG6149	['asthma']	2	['monoclonal', 'antibody']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
53	roche	codrituzumab	['cancer', 'liver']	2	['humanized antibody']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
54	roche	RG7413	['bowel', 'disease', 'ulcerative']	3	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
55	roche	azacitidine	['myelodysplastic']	1	['chemical substance']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
56	roche	azacitidine	['myelodysplastic']	2	['chemical substance']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
57	roche	azacitidine	['acute']	3	['chemical substance']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
58	roche	RG7935	"[""Parkinson's"", 'disease']"	1	['monoclonal', 'antibody']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
59	roche	RG6083	['atrophy']	2	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
60	roche	RG7686	['cancer', 'Oncology', 'liver']	2	['monoclonal', 'antibody']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
61	roche	RG7446+ipilimumab	['Oncology']	1	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
62	roche	RG7446	['ovarian', 'Oncology', 'tumors', 'cancer']	1	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
63	roche	RG7446	['Oncology']	3	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
64	roche	RG6180	['Oncology']	1	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
65	roche	Gantenerumab	"['disease', ""Alzheimer's""]"	3	['monoclonal', 'antibody']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
66	roche	nemolizumab	['dermatitis']	2	['humanized antibody']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
67	roche	lebrikizumab	['pulmonary', 'idiopathic', 'fibrosis', 'dermatitis']	2	['humanized antibody']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
68	roche	RG7876+atezolizumab	['Oncology']	1	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
69	roche	RG7876+vanucizumab	['Oncology']	1	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
70	roche	RG7876	['Oncology', 'tumors', 'Cancer', 'tumours']	1	['antibody']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
71	roche	RG7625	['autoimmune']	2	['antagonist']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
72	roche	URC102	['A']	1	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
73	roche	URC102	['gout']	2	['inhibitor']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
74	roche	URC102	['A']	3	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
75	roche	RG6078+atezolizumab	['Oncology']	1	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
76	roche	RG6078	['cancer', 'tumors', 'A', 'Cancer']	1	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
77	roche	erlotinib	['Oncology']	1	['tyrosine-kinase inhibitor']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
78	roche	RG7992	['gout']	1	['antibody']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
79	roche	RG1569	['sclerosis']	3	[]	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
80	roche	atezolizumab+obinutuzumab	['Oncology', 'lymphoma', 'Cancer']	1	['humanized antibody']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
81	roche	atezolizumab+erlotinib	['Oncology']	1	['humanized antibody']	[]	http://www.roche.com/research_and_development/who_we_are_how_we_work/pipeline.htm
